log,lat
-149.858384,61.21755
-149.85796,61.108444
-149.732706,61.221371
-149.832372,61.181187
-149.823633,61.219353
-149.732719,61.192846
-149.950832,61.137056
-149.936781,61.181524
-149.979956,61.173019
-149.775086,61.209365
-149.870565,61.188348
-149.898633,61.194753
-149.863246,61.139884
-149.835088,61.138203
-149.571214,61.327006
-147.759108,64.837296
-147.820117,64.848734
-147.696614,64.859384
-151.523064,59.642696
-134.575965,58.364295
-151.235906,60.559838
-131.674032,55.349458
-152.406682,57.790858
-147.351417,64.758068
-149.123657,61.599019
-135.347957,57.059566
-151.071002,60.48309
-149.430898,61.581432
-85.285598,31.550299
-86.964038,33.610748
-86.812028,33.262696
-86.805218,33.228322
-86.20708,34.2767
-85.95846,32.92119
-86.39416,34.11883
-86.51839,31.27594
-85.82663,33.66911
-85.78884,33.6291
-85.81804,33.71946
-86.50283,34.32584
-86.84025,34.99181
-85.82625,33.27559
-86.95088,34.80485
-86.93826,34.78282
-87.49385,31.00651
-87.474623,31.1097
-86.07735,34.01812
-85.44573,32.62495
-85.48354,32.60663
-85.5052,32.56097
-87.78384,30.87913
-86.92224,33.33711
-86.9986,33.36264
-86.96937,33.39583
-86.89285,33.56157
-86.807791,33.504646
-86.7215,33.52553
-86.82769,33.54057
-86.68365,33.63668
-86.696632,33.587945
-86.87868,33.4953
-86.73994,33.38369
-86.78817,33.50977
-86.80019,33.53363
-86.81908,33.55394
-86.811501,33.52029
-86.74863,33.54354
-86.84708,33.50003
-86.8397,33.48048
-86.15069,34.19869
-87.07977,31.09949
-86.952764,33.42752
-88.219412,32.090166
-86.74985,33.14685
-88.00967,31.127797
-85.66817,34.16015
-87.149199,32.94471
-86.63385,33.34814
-86.35069,33.26488
-86.57607,32.8011
-86.615891,33.179848
-87.44804,33.17606
-86.83668,34.1629
-86.87543,34.20702
-85.73031,32.82105
-85.71279,31.30934
-87.91231,30.6496
-87.901512,30.603901
-86.98017,34.5892
-87.01302,34.57255
-87.051264,34.619656
-86.9087,34.5359
-87.83765,32.50487
-86.883972,34.041569
-87.065994,33.759327
-85.36078,31.21709
-85.39758,31.18968
-85.38914,31.25415
-85.42768,31.24592
-85.464079,31.238294
-85.4493,31.270885
-85.4002,31.22511
-86.90779,33.49959
-85.86223,31.33399
-85.15626,31.87114
-86.964299,31.455435
-87.8863,30.52552
-86.894122,34.36811
-87.82667,33.70342
-87.253115,31.027075
-87.68051,34.81668
-87.65596,34.82007
-87.63136,34.83678
-87.69026,34.8485
-87.68345,30.39556
-87.6291,30.3679
-85.73339,34.43265
-86.806039,33.608079
-86.093359,33.997152
-86.02071,34.0218
-86.00417,33.99859
-86.80991,33.65229
-85.89048,31.04801
-85.94155,33.96533
-88.335,30.499005
-87.59289,32.69857
-86.62656,31.84747
-87.781842,31.685821
-87.68707,30.27394
-86.30841,34.34159
-87.62164,34.22679
-87.99008,34.123903
-86.77715,34.07177
-86.94225,34.4419
-86.713312,34.846838
-85.595127,33.625168
-86.85214,33.28043
-85.752695,34.624521
-86.82125,33.45143
-86.818177,33.46043
-86.80634,33.40702
-86.80488,33.37999
-86.81104,33.37859
-86.855562,33.356621
-86.357159,32.2705
-86.98547,33.45089
-86.56644,34.64399
-86.52631,34.77308
-86.48648,34.8204
-86.59232,34.75792
-86.590453,34.708824
-86.57458,34.7195
-86.62762,34.73516
-86.5684,34.69376
-86.6746,34.74357
-86.69401,33.53329
-88.246094,30.428543
-87.888362,31.536579
-85.76141,33.81646
-87.26926,33.8488
-87.242403,33.790864
-86.74355,32.95955
-87.55506,34.85576
-87.102868,33.280143
-86.52365,33.55922
-86.12521,33.58746
-88.18591,32.58394
-87.76073,30.6421
-86.264665,31.704798
-86.787055,34.70137
-86.74937,34.75208
-86.74903,34.67751
-87.000192,33.329847
-86.571399,34.858559
-86.9219,33.45682
-86.372022,32.519107
-88.19085,30.66001
-88.12365,30.68865
-88.08391,30.72131
-88.224823,30.640946
-88.10677,30.66499
-88.22533,30.68694
-88.07473,30.60945
-88.11351,30.7007
-88.12021,30.67612
-88.14957,30.67091
-88.15753,30.72009
-88.16204,30.64808
-88.169685,30.590847
-88.17148,30.68937
-88.04988,30.68756
-88.053238,30.68639
-88.276837,30.671261
-87.31923,31.50744
-86.86107,33.10177
-86.21828,32.35553
-86.27573,32.38047
-86.24228,32.38565
-86.25572,32.3274
-86.26878,32.36422
-86.17959,32.33956
-86.34546,32.36932
-86.200234,32.382614
-86.31857,32.35173
-86.137738,32.362639
-86.328135,32.325945
-86.477795,33.576503
-87.27458,34.48494
-87.667348,34.746956
-87.60112,33.30456
-87.57811,33.23975
-86.47057,33.94963
-85.35117,32.64375
-85.404809,32.620033
-87.582542,30.291771
-86.482067,34.65822
-85.82799,33.60845
-85.64319,31.45829
-86.78667,33.33489
-86.2826,33.59367
-85.028181,32.469565
-85.016875,32.497768
-85.044513,32.497621
-85.0931,32.469729
-85.60972,33.93382
-86.68362,33.69569
-86.39003,32.46054
-86.411658,32.486058
-86.45078,32.45947
-88.111278,30.745236
-85.84698,34.49369
-88.13813,34.43898
-85.35928,33.15201
-87.708172,30.542461
-87.293963,34.823878
-87.71725,34.51207
-88.094,30.8313
-88.04622,30.87118
-86.03152,34.64844
-87.03222,32.4311
-85.18279,32.8458
-87.66927,34.77402
-85.956233,32.404364
-86.02252,33.92335
-86.46727,33.76907
-85.81239,34.87397
-86.26096,33.16719
-86.08315,33.44059
-85.89887,32.53743
-86.765614,33.58955
-88.17144,30.55352
-88.20669,30.56057
-87.73956,31.925786
-85.9444,31.8317
-86.61395,33.63958
-86.647866,33.596696
-87.56724,33.20285
-87.47939,33.19747
-87.52538,33.1652
-87.515697,33.261758
-87.52987,33.1974
-87.54405,33.14672
-87.635484,34.697184
-87.66875,34.71267
-85.69357,32.42171
-85.71324,32.14625
-88.10976,33.75378
-86.762516,33.411134
-86.790416,33.446224
-86.81589,33.80902
-86.21014,32.52014
-87.816551,33.928581
-94.22633,35.48645
-93.09505,34.11786
-94.116302,33.6591
-92.937337,35.254401
-91.482521,35.386616
-91.64087,35.76808
-91.90863,35.06852
-92.58112,34.57289
-92.535279,34.60574
-92.634291,34.540344
-94.178879,36.360226
-94.22139,36.371571
-94.181297,36.385799
-94.219546,36.335681
-93.585312,36.377747
-89.89307,35.92726
-89.91856,35.88944
-93.92033,35.13994
-91.197997,34.903872
-92.4978,34.61373
-92.02502,34.97602
-91.95943,34.93753
-93.070751,34.182907
-92.839293,33.568806
-94.284798,36.358307
-93.46539,35.45263
-92.457385,35.595482
-92.440206,35.06713
-92.42674,35.09174
-92.43235,35.11232
-92.47173,35.08786
-95.229729,40.143898
-91.96265,33.11759
-93.16257,35.22115
-94.327759,34.04538
-91.48338,33.88354
-92.66579,33.22919
-92.68691,33.20656
-92.08951,35.10975
-94.022525,36.02781
-93.737539,36.391477
-94.24995,36.04114
-94.198419,35.997284
-94.15605,36.08325
-94.12115,36.08624
-94.157914,36.063205
-94.20282,36.07845
-94.148369,36.123776
-92.42625,33.824768
-90.78996,35.03316
-94.40405,35.38618
-94.4228,35.3381
-94.390525,35.335303
-94.368739,35.403432
-94.36816,35.36109
-94.338581,35.347649
-94.3878,35.29605
-92.47994,36.28798
-94.49494,36.270565
-93.548381,34.321523
-92.38824,35.22825
-94.270533,35.217005
-91.486836,36.317923
-90.723536,35.570693
-93.116241,36.245126
-93.0991,36.2401
-92.02916,35.50835
-93.60567,33.679975
-93.08186,34.49344
-93.125019,34.47262
-93.04757,34.50377
-92.991255,34.471869
-93.12611,34.50329
-93.05964,34.47751
-93.07517,34.45182
-93.709567,36.113415
-92.10744,34.885
-92.11777,34.86731
-90.7055,35.82126
-90.68061,35.84588
-90.668405,35.818632
-90.67923,35.82836
-91.31168,33.39476
-92.38757,34.76652
-92.34114,34.75167
-92.42663,34.65573
-92.40423,34.75416
-92.314411,34.619909
-92.456099,34.76618
-92.34242,34.71515
-92.27617,34.74266
-92.35436,34.742
-92.3603,34.77316
-92.34372,34.6778
-92.18943,34.7188
-92.37667,34.67022
-91.889544,34.800512
-94.145798,36.254234
-93.225484,33.266655
-92.829578,34.392598
-92.80974,34.36329
-90.206266,35.21322
-90.43253,35.52808
-92.65617,35.907929
-94.2243,34.5863
-91.80183,33.635457
-92.719981,35.170076
-92.36952,36.35012
-92.110062,35.865288
-92.337465,36.359754
-93.85133,33.92972
-91.252616,35.605664
-92.38305,34.82552
-92.381729,34.88452
-92.1997,34.77575
-92.22781,34.79038
-92.2711,34.79506
-92.26163,34.75586
-92.23516,34.81945
-90.012238,35.698375
-93.82468,35.50591
-90.504339,36.052655
-90.547229,36.059807
-93.721866,35.291996
-94.116478,36.442833
-90.177275,36.382268
-92.043431,34.230191
-92.006854,34.201052
-91.97235,34.20992
-92.061402,34.192644
-90.962029,36.250984
-94.180992,36.335045
-94.116593,36.355227
-94.152959,36.28217
-94.12724,36.333703
-93.13323,35.28872
-93.09361,35.27895
-91.69415,35.25026
-91.73637,35.24403
-92.39898,34.30174
-92.225625,34.85297
-92.18387,34.82949
-94.559212,36.176421
-94.117003,36.167041
-94.179803,36.175394
-94.182779,36.193937
-94.138921,36.18048
-91.843619,33.94255
-91.553765,34.479036
-94.03714,33.43022
-94.216214,36.175788
-90.55066,35.679373
-94.356848,35.464442
-94.32697,35.44315
-92.198903,35.085332
-94.10733,34.90454
-90.95446,36.07335
-92.07193,33.60724
-90.6514,34.55326
-90.184997,35.165854
-90.136701,35.15313
-92.10059,34.25975
-90.78486,35.2319
-112.13691,33.865671
-111.57168,33.41495
-112.33854,33.46075
-112.2898,33.49139
-112.2732,33.46482
-111.821872,35.238444
-110.343437,31.957027
-112.556541,33.437077
-112.556011,33.441602
-114.597878,35.106483
-114.578438,35.125702
-111.87416,34.56562
-111.73386,32.879369
-111.711646,32.877872
-111.756164,32.939547
-110.92582,32.49429
-111.821787,33.29211
-111.875069,33.335489
-111.887783,33.306347
-111.790962,33.276842
-111.857936,33.259629
-111.859439,33.234652
-111.94365,33.30555
-111.96103,33.281088
-111.842204,33.320176
-112.453087,34.773804
-111.52411,32.98607
-112.00185,34.71927
